Positive Comments	Negative Comments
His pre-recorded lectures are great and very easy to understand.	None so far.
Considerate	None
Considerate	None
Considerate	None
Patient, understanding, and very clear when explaining/discussing.	None
Patient, understanding, and very clear when explaining/discussing	none
She's really nice. Her abilities as a teacher are excellent. She also gives us a lot of things to think through. Additionally, she gave us an opportunity to speak in every discussion.	She's too kind.
Explains and discusses everything very clearly and patient with his students.	None
He is very enthusiastic about the lessons he teaches, and in order to deepen our comprehension of the material and increase the breadth of our knowledge, he often provides examples from real life that relate to the subject at hand.	Since we are unable to consult with him as to whether or not our current session is being recorded, I believe that if there is something that ought to be improved, I would want for him to conduct face-to-face sessions. The last time I saw him, I was likewise surprised when he deducted points from our exam scores for being late. Despite the fact that I am aware of the power he possesses, I believe it is our duty as students to be accountable for it.
Our instructor, Ma'am Shanne, is very understanding and professional. She has this great way of teaching that somehow helps us in understanding and better comprehend every lesson. Aside from that, she don't bombard us with different activities, instead, she uses our course time wisely and teach us every lesson we need to learn and she also encourages us to engage with our interactive discussions.	None.
Great so far	Nothing much
Approachable, eloquent	none
She is Good at teaching	Our instructor teaches so many things all a once
Teaches well and considerate	None
Considerate	None
She gives time and explain things clearly.	none.
Our instructor is an effective teacher and she discussed all the lessons in a clear way.	More examples per lesson
All the topics are well explained	none
She is very quick in discussing the lessons.	She is very quick in discussing the lessons.
He makes the discussion easy to understand.	None
Meeting is always recorded.	Meeting is always recorded.
She is easy to approach when I don't ubderstand the lesson.	Just keep up what she's doing.
Easily to understand his explanations	None
She makes sure that we understand the discussion.	Nothing.
Always kind, patient, helpful and truly care about her profession and her students.	None
Good way of teaching and strict	none
Always kind, patient, helpful and truly care about her profession and her students.	None
The instructor explains the topic deeply and he seems to truly love what he do.	I do not really have any negative comments.
She can clearly teach some of the important concepts.	Too fast when teaching and giving examples, thus, making the lecture confusing at times.
Our instructor is very kind and understanding.	Our instructor sometimes discusses lessons in a quick manner.
Sir Culla is very considerate and has a good teaching style. Although it can be said that his lessons somehow lack interaction since they're conducted asynchronously, it is rightfully compensated by his mastery in the subject that he is teaching,which in this case is UTS.	None.
none	Sometimes discussions are too fast. We need more time to digest the lessons.
Ms. Mariano is kind and considerate. She usually check on her students if they don't understand a certain thing about the lesson and doesn't move on unless every concern is addressed.	Sometimes, I find her teaching to be somehow fast for me comprehend properly.
Ma'am explains the topic well and gives us useful materials about our lessons.	Her teaching pace is a little bit fast for others to comprehend.
She explain the lessons and plates very clearly	None
Caring, considerate, and his teaching is very informative.	None
Considerate with the deadlines	None
She is very nice and trustworthy.	For now, I don't see negative traits on her because the way she elaborates the lesson is enough to understand by the students.
Ma'am Lenlyn is one of the kindest and most approachable professors.	None
He is kind and understands what is going on in our lives, and when he sees that we have a lot of work to do, he lets us use his time to do it before the deadline.	None
She can explain well the topics and ask her students if they understand it before moving on to the next topic.	None
He knows well what he's teaching. He gives every detail that he knows on each topic. Also, he always asks his students if they understand the topics and give a few minutes break before discussing the next topic.	None
Very understanding and kind, excellent in explaining his lessons	none
she discuss properly the subject what we taken.	none
She is a good instructor everything that comes to her mouth are knowledgeable	None
She's really nice.Â  I enjoy the way she teaches. And she gave us the chance to speak.	she's too kind.
He explains to us the lessons very well, he adds examples and illustrations if necessary for us to better understand a topic. Also, he explains to us an activity and if there's anything unclear to us, he will clarify it.	None
Ms. Shanne is easy to interact with. She answers our questions regarding our topics. She is open to correction and is willing to help.	There are several times when Ms. Shanne gets confused with our lessons. There are also errors in her Powerpoint presentation but she immediately corrects it.
She is very approachable and she answers our questions.	Sometimes lesson can be very confusing and there are noticeable errors from the PowerPoint.
She explained the lessons in the way that we will understand it. She adds examples if necessary	None
She is always on time to start and end her classes. Also, she shares valuable or additional information about the subject in the google classroom.	N/A
She encourages us to solve the problem so that we can practice on how the mathematical process was done. She makes us feel comfortable especially as a freshmen year.	NONE
She explains our lessons very well and gives us sample problems in class to practice the lesson.	As of now, I am satisfied with her teaching and I understand her lessons.
She explains the lessons very well and gives us sample problems in class to practice the lesson. She also makes our class interactive as much as possible.	As of now, I am satisfied with her teaching as I understand her lessons.
Keep it up	Nothing
She gives us a long time to finish the plates.	None.
She discussed the lessons well, and I learned a lot. She's also kind and understanding to students situations such as when having poor internet connection.	I don't have any negative comments about her.
She's very patient to us.	None
She taught well and elaborated on the lesson.	None
She is a good teacher and good at teaching.	None so far.
She is a good teacher and good at teaching.	None so far.
She is considerate and is always open towards answering concerns about the plate.	None, she does her job precisely and outstandingly.
She is kind and considerate. She explains every activity in detail.	none
He can teach the lesson in a simple way	none
The instructor is very hands on.	The instructor needs improvement with disseminating laboratory activites.
She's considerate and understanding	-
Her presentations are well-prepared. She answers the queries of the students and provides step-by-step solutions. She gives another example if a topic is unclear to the students	none
She's very patient in teaching us especially when the topic is really confusing, she always provide additional examples for us to understand the lesson better.	None
keep up the good work	none
i can easily understand when shes expalin the topic	none
Engr. Chua makes sure that we are learning by giving us seatwork after each discussion and solving that seatwork afterwards for us to understand the process.	None
Dr. Barte elaborates the topic when discussing and tries to give real world example for easy visualization of the subject matter.	None at all
Ms. Mariano is very effective in his teaching. She was able to stimulate the students to the extent and provides a great environment to learn. As a teacher, she has great communication skills. She always provides a good explanations about out our clarifications and concerns regarding the course.	I don't have any negative to say about my instructor and nothing to suggest.
Sir Culla is very effective in his teaching. He was able to stimulate the students to the extent. I appreciate his efforts and generosity of giving students a load whenever we cannot join online class if we don't have enough data so that we will not fall behind in lessons that will be discussed . He provides a great environment to learn.  As a teacher, he always provides detailed explanation for us to clearly understand the lessons.	I don't have any negative comments regarding our instructor and any suggestions for improvement.
she explains the lessons clearly	none that I could think of
Our instructor is a normal-paced teacher when teaching which benefits us to learn her subject easily and her teaching style is helpful to us in times of synchronous classes	Nothing
Kind, approachable, and considerate.	None
Our instructor is the best at introducing new lessons, she always make sure that we have an overview on how would do we deal with her new lessons.	I think the best improvement is the environment since there are times where background noise is more louder than her voice.
Detailed when lecturing and also recording every meet that we conduct through online.	none
Our instructor is really kind, has a nice voice while discussing, and she teaches well. She always makes everything clear before ending the classes.	I don't have any negative comments for her.
Our instructor discusses the topic very well and always giving the students a time to absorb the information or the discussed topic by giving a 10-15 minute break after tackling a certain topic.	none
Our instructor is quite approachable and had a good personality and	None
Indeed Mr. Culla is a responsible type of instructor and will elaborate or explain the lesson in a way we can much understand and gain more knowledge about it.	For now, I don't have any negative comments since the characteristics of an instructor should have is can be seen in Mr. Culla.
Our instructor is very considerate	None
